Date,Event Type,Title,Course,Status,Duration/Weight,Start Time
Mar 13,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 13,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 13,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Mar 13,App Item,Module 07 SQL Lab - PracticeSet04,Database Management Systems,Submitted,1.31% Weight,N/A
Mar 14,Graded Assignment,Module 7 Quiz: Introduction to SQL,Database Management Systems,Graded (90%),N/A,N/A
Mar 16,App Item,Module 07 SQL Lab - ProblemSet02,Database Management Systems,Submitted,1.31% Weight,N/A
Mar 16,App Item,Project Part 1: Database Design,Database Management Systems,Submitted,6.6% Weight,N/A
Mar 16,Graded Assignment,Final Project Checkpoint #2: Project Execution,Human-Centered Artificial Intelligence,Submitted,9.99% Weight,N/A
Mar 17,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Mar 18,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 18,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 19,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Mar 20,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 20,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 23,App Item,Module 07 SQL Lab - ProblemSet02,Database Management Systems,Submitted,1.31% Weight,N/A
Mar 23,App Item,Module 07 SQL Lab - ProblemSet03,Database Management Systems,Submitted,1.31% Weight,N/A
Mar 23,App Item,Module 07 SQL Lab - ProblemSet01,Database Management Systems,Submitted,1.31% Weight,N/A
Mar 23,Graded Assignment,Module 10 Quiz,Human-Centered Artificial Intelligence,Graded (98.95%),1.66% Weight,N/A
Mar 23,Graded Assignment,Project Assignment Report #6,Human-Centered Artificial Intelligence,Submitted,2.99% Weight,N/A
Mar 24,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Mar 24,Graded Assignment,Module 8 Quiz: Advanced SQL,Database Management Systems,Graded (90%),N/A,N/A
Mar 25,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 25,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 25,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Mar 25,Graded Assignment,Module 8 Application (Part 2),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 25,Graded Assignment,Module 8 Application (Part 5),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 25,Graded Assignment,Module 8 Application (Part 4),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 25,Graded Assignment,Module 8 Application (Part 3),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 25,Graded Assignment,Module 8 Application (Part 1),Database Management Systems,Graded (75%),0.32% Weight,N/A
Mar 26,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Mar 27,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 27,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 27,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Mar 30,Live Event,Office Hours Instructor,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 30,App Item,Module 07 SQL Lab - ProblemSet04,Database Management Systems,Submitted,1.31% Weight,N/A
Mar 30,App Item,Module 07 SQL Lab - ProblemSet05,Database Management Systems,Submitted,1.31% Weight,N/A
Mar 30,Graded Assignment,Module 10 Application,Database Management Systems,Due at 8:59 PM PDT,0.32% Weight,N/A
Mar 30,App Item,Module 08 SQL Lab - PracticeSet05,Database Management Systems,Due at 8:59 PM PDT,1.31% Weight,N/A
Mar 30,App Item,Module 08 SQL Lab - PracticeSet06,Database Management Systems,Due at 8:59 PM PDT,1.31% Weight,N/A
Mar 30,Graded Assignment,Module 11 Quiz,Human-Centered Artificial Intelligence,Due at 8:59 PM PDT,1.66% Weight,N/A
Mar 30,Graded Assignment,Project Assignment Report #7,Human-Centered Artificial Intelligence,Due at 8:59 PM PDT,2.99% Weight,N/A
Mar 31,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Apr 1,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Apr 1,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Apr 1,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Apr 2,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Apr 2,Graded Assignment,Module 10 Quiz: Transaction Management/Concurrency,Database Management Systems,Due at 8:59 PM PDT,N/A,N/A
Apr 3,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Apr 3,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Apr 3,Graded Assignment,Module 11 Application,Database Management Systems,Due at 8:59 PM PDT,0.32% Weight,N/A
Apr 4,App Item,Project Part 2: Database Implementation,Database Management Systems,Due at 8:59 PM PDT,9.6% Weight,N/A
Apr 6,App Item,Module 08 SQL Lab - PracticeSet08,Database Management Systems,Due at 8:59 PM PDT,1.31% Weight,N/A
Apr 6,App Item,Module 07 SQL Lab - ProblemSet06,Database Management Systems,Due at 8:59 PM PDT,1.31% Weight,N/A
Apr 6,App Item,Module 07 SQL Lab - ProblemSet07,Database Management Systems,Due at 8:59 PM PDT,1.31% Weight,N/A
Apr 6,App Item,Module 08 SQL Lab - PracticeSet07,Database Management Systems,Due at 8:59 PM PDT,1.31% Weight,N/A
Apr 6,Graded Assignment,Module 12 Quiz,Human-Centered Artificial Intelligence,Due at 8:59 PM PDT,1.66% Weight,N/A
Apr 6,Graded Assignment,Project Assignment Report #8,Human-Centered Artificial Intelligence,Due at 8:59 PM PDT,3.02% Weight,N/A
