Date,Event Type,Title,Course,Status,Duration/Weight,Start Time
Mar 1,Graded Assignment,CPSC 6620 Midterm Exam,Database Management Systems,Graded (95%),10% Weight,N/A
Mar 2,Graded Assignment,Module 8 Quiz,Human-Centered Artificial Intelligence,Graded (100%),1.66% Weight,N/A
Mar 2,Graded Assignment,Project Assignment Report #4,Human-Centered Artificial Intelligence,Graded (100%),2.99% Weight,N/A
Mar 3,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PST
Mar 4,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PST
Mar 4,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PST
Mar 4,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PST
Mar 5,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PST
Mar 6,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PST
Mar 6,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PST
Mar 6,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PST
Mar 7,Graded Assignment,Install MySQL and DataGrip: Load the Sales DB,Database Management Systems,Submitted,0% Weight,N/A
Mar 7,Graded Assignment,Module 7 Application (Part 1),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 9,App Item,Module 07 SQL Lab - PracticeSet01,Database Management Systems,Graded (100%),1.31% Weight,N/A
Mar 9,Graded Assignment,Project Assignment Report #5,Human-Centered Artificial Intelligence,Graded (100%),3% Weight,N/A
Mar 9,Graded Assignment,Module 9 Quiz,Human-Centered Artificial Intelligence,Graded (100%),1.66% Weight,N/A
Mar 10,Live Event,N/A,Database Management Systems,N/A,N/A,9:00 AM PDT
Mar 11,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 11,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 11,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Mar 11,Graded Assignment,Module 7 Application (Part 4),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 11,Graded Assignment,Module 7 Application (Part 5),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 11,App Item,Module 07 SQL Lab - PracticeSet02,Database Management Systems,Graded (100%),1.31% Weight,N/A
Mar 11,Graded Assignment,Module 7 Application (Part 3),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 11,Graded Assignment,Module 7 Application (Part 2),Database Management Systems,Graded (100%),0.32% Weight,N/A
Mar 12,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Mar 12,App Item,Module 07 SQL Lab - PracticeSet03,Database Management Systems,Graded (100%),1.31% Weight,N/A
Mar 13,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 13,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Mar 13,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Mar 13,App Item,Module 07 SQL Lab - PracticeSet04,Database Management Systems,Graded (100%),1.31% Weight,N/A
Mar 14,Graded Assignment,Module 7 Quiz: Introduction to SQL,Database Management Systems,Graded (90%),N/A,N/A
Mar 16,Graded Assignment,Final Project Checkpoint #2: Project Execution,Human-Centered Artificial Intelligence,Graded (98%),9.99% Weight,N/A
Mar 17,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Mar 18,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,3:00 AM PDT
Mar 18,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
